person_id,age,age_group,individual_income,income_group,household_size,family_structure,vehicles,target_amenity,target_mode
1.7427492370460533e+19,64,Elderly,10651,Low,2_person,married_couple,0,Leisure & Wellness/Gym,Car
8.000124860001626e+18,28,Young Adult,60608,High,2_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Walking
5.981201455131128e+18,67,Elderly,7426,Low,2_person,married_couple,1,Cultural/Museum,Walking
8.731892961412607e+18,51,Senior,257586,Ultra High,3_person,married_couple,1,Hotel/Hotel and Lodging,Walking
1.2395756882992466e+19,22,Young Adult,16101,Low,4_person,nonfamily_single,1,Entertainment/Spectator Sports,Public_transport
8.065760043414543e+18,58,Senior,71921,High,3_person,family_single,0,Entertainment/Media,Public_transport
8.629483381706411e+18,76,Elderly,74043,High,3_person,family_single,1,Entertainment/Spectator Sports,Public_transport
1.081995870724396e+19,94,Elderly,12121,Low,1_person,living_alone,0,Cultural/Museum,Walking
1.5489492843032916e+19,64,Elderly,55894,Moderate,2_person,married_couple,3_plus,Hotel/Hotel and Lodging,Car
6.779926554640257e+18,52,Senior,269361,Ultra High,2_person,nonfamily_single,2,Leisure & Wellness/Gym,Walking
9.66456736265718e+18,32,Adult,32468,Moderate,3_person,married_couple,1,Leisure & Wellness/Gym,Car
7.747673265075584e+17,72,Elderly,21557,Low,2_person,married_couple,1,Cultural/Library,Car
4.990812329320543e+18,47,Middle Age,121217,Ultra High,7_plus_person,married_couple,1,Leisure & Wellness/Recreation Industries,Walking
1.4223996239602246e+19,18,Teen,8081,Low,3_person,family_single,2,Leisure & Wellness/Recreation Industries,Car
3.683937578346255e+18,38,Adult,70230,High,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Public_transport
1.7350320884558658e+19,43,Middle Age,25931,Low,3_person,family_single,1,Entertainment/Zoos and Nature Parks,Public_transport
8.449370432572105e+18,58,Senior,394966,Ultra High,4_person,married_couple,2,Hotel/Hotel and Lodging,Public_transport
