source,target,type
Person_3.042898279713684e+18,Desire_3.042898279713684e+18_Shop,want_to
Person_1.586876555727136e+19,Desire_1.586876555727136e+19_School,want_to
Person_1.1576579517790798e+19,Desire_1.1576579517790798e+19_School,want_to
Person_8.406536686754593e+18,Desire_8.406536686754593e+18_Shop,want_to
Person_1.1156174530945843e+19,Desire_1.1156174530945843e+19_Recreation,want_to
Person_3.788140392910308e+18,Desire_3.788140392910308e+18_Eat,want_to
Person_9.57884249095133e+17,Desire_9.57884249095133e+17_Eat,want_to
Person_1.6399479785059631e+19,Desire_1.6399479785059631e+19_Eat,want_to
Person_1.9332840807747663e+18,Desire_1.9332840807747663e+18_Eat,want_to
Person_3.5367466730231634e+18,Desire_3.5367466730231634e+18_Eat,want_to
Person_1.1264717060570833e+19,Desire_1.1264717060570833e+19_Shop,want_to
Person_1.0764315543703308e+19,Desire_1.0764315543703308e+19_Recreation,want_to
Person_9.51623562795022e+18,Desire_9.51623562795022e+18_Shop,want_to
Person_1.613628521833393e+18,Desire_1.613628521833393e+18_Errands,want_to
Person_2.448535250358194e+17,Desire_2.448535250358194e+17_Recreation,want_to
Person_1.5013334280448176e+19,Desire_1.5013334280448176e+19_Shop,want_to
Person_1.5097421240128915e+19,Desire_1.5097421240128915e+19_Errands,want_to
Person_1.6758875072511873e+19,Desire_1.6758875072511873e+19_Eat,want_to
Person_1.3015029163221018e+18,Desire_1.3015029163221018e+18_Shop,want_to
Person_5.135436199063312e+18,Desire_5.135436199063312e+18_Recreation,want_to
Person_1.6696286622168232e+19,Desire_1.6696286622168232e+19_Shop,want_to
Person_8.087995398757763e+17,Desire_8.087995398757763e+17_Recreation,want_to
Person_1.2019450705076388e+19,Desire_1.2019450705076388e+19_Shop,want_to
Person_5.753821105578652e+18,Desire_5.753821105578652e+18_Errands,want_to
Person_6.976086373915017e+18,Desire_6.976086373915017e+18_Eat,want_to
Person_1.0152857555130687e+19,Desire_1.0152857555130687e+19_Shop,want_to
Person_1.2244273262536088e+19,Desire_1.2244273262536088e+19_Eat,want_to
Person_9.550515739709802e+18,Desire_9.550515739709802e+18_Recreation,want_to
Person_2.3419822548414064e+16,Desire_2.3419822548414064e+16_Eat,want_to
Person_1.2120890043478491e+19,Desire_1.2120890043478491e+19_Eat,want_to
Person_1.5824490855283251e+19,Desire_1.5824490855283251e+19_Recreation,want_to
Person_7.646931215736285e+18,Desire_7.646931215736285e+18_Eat,want_to
Person_7.409833674404891e+17,Desire_7.409833674404891e+17_Shop,want_to
Person_3.143424673927809e+17,Desire_3.143424673927809e+17_Eat,want_to
Person_5.346498065269284e+18,Desire_5.346498065269284e+18_Shop,want_to
Person_1.3440014668275544e+19,Desire_1.3440014668275544e+19_Errands,want_to
Person_1.6727979377688314e+19,Desire_1.6727979377688314e+19_Eat,want_to
Person_5.759416724449921e+18,Desire_5.759416724449921e+18_School,want_to
Person_1.3305947277325978e+19,Desire_1.3305947277325978e+19_Shop,want_to
Person_1.6618118215645612e+19,Desire_1.6618118215645612e+19_Shop,want_to
Person_2.9109937447638e+18,Desire_2.9109937447638e+18_Eat,want_to
Person_7.382229231725216e+18,Desire_7.382229231725216e+18_Shop,want_to
Person_2.703480938157533e+18,Desire_2.703480938157533e+18_Errands,want_to
Person_2.8547987841141105e+18,Desire_2.8547987841141105e+18_Recreation,want_to
Person_1.733622189327774e+19,Desire_1.733622189327774e+19_Shop,want_to
Person_1.2755562908315562e+19,Desire_1.2755562908315562e+19_Errands,want_to
Person_1.0048722183318026e+19,Desire_1.0048722183318026e+19_Shop,want_to
Person_1.838787093401515e+19,Desire_1.838787093401515e+19_Recreation,want_to
Person_1.1389131347311313e+19,Desire_1.1389131347311313e+19_Recreation,want_to
Person_7.937415820294495e+18,Desire_7.937415820294495e+18_Eat,want_to
Person_4.3122660171462415e+18,Desire_4.3122660171462415e+18_Eat,want_to
Person_4.14447735413175e+18,Desire_4.14447735413175e+18_Eat,want_to
Person_6.53540663521365e+18,Desire_6.53540663521365e+18_Other,want_to
Person_5.4417170967428864e+17,Desire_5.4417170967428864e+17_Recreation,want_to
Person_1.169383651805675e+19,Desire_1.169383651805675e+19_Errands,want_to
Person_9.86855430277569e+18,Desire_9.86855430277569e+18_Eat,want_to
Person_1.213683572580063e+19,Desire_1.213683572580063e+19_Shop,want_to
Person_1.1034514087390897e+18,Desire_1.1034514087390897e+18_Recreation,want_to
Person_7.474270263983382e+17,Desire_7.474270263983382e+17_Eat,want_to
Person_6.734018293969027e+18,Desire_6.734018293969027e+18_Shop,want_to
Person_8.717109161891187e+17,Desire_8.717109161891187e+17_Recreation,want_to
Person_1.6416438325324843e+19,Desire_1.6416438325324843e+19_Eat,want_to
Person_6.780364553927163e+18,Desire_6.780364553927163e+18_Shop,want_to
Person_6.630649682305337e+18,Desire_6.630649682305337e+18_Shop,want_to
Person_1.0967230750168068e+19,Desire_1.0967230750168068e+19_School,want_to
Person_1.3970223714876336e+19,Desire_1.3970223714876336e+19_Shop,want_to
Person_3.0285738036378813e+18,Desire_3.0285738036378813e+18_Shop,want_to
Person_2.3544424844647987e+18,Desire_2.3544424844647987e+18_Errands,want_to
Person_1.1464648913238438e+18,Desire_1.1464648913238438e+18_Eat,want_to
Person_1.334914825820808e+19,Desire_1.334914825820808e+19_Recreation,want_to
Person_6.398164561225462e+18,Desire_6.398164561225462e+18_Errands,want_to
Person_1.6187987903256668e+19,Desire_1.6187987903256668e+19_Recreation,want_to
Person_2.115326384001876e+18,Desire_2.115326384001876e+18_Recreation,want_to
Person_1.4677273323967152e+19,Desire_1.4677273323967152e+19_Eat,want_to
Person_6.663277048475791e+18,Desire_6.663277048475791e+18_Shop,want_to
Person_1.4478627621185362e+19,Desire_1.4478627621185362e+19_Eat,want_to
Person_1.3317118788676487e+19,Desire_1.3317118788676487e+19_Shop,want_to
Person_1.3886716428090198e+19,Desire_1.3886716428090198e+19_Eat,want_to
Person_2.510617954378842e+18,Desire_2.510617954378842e+18_Shop,want_to
Person_1.5454179178424496e+19,Desire_1.5454179178424496e+19_Eat,want_to
Person_4.2747387929120256e+17,Desire_4.2747387929120256e+17_Errands,want_to
Person_1.4740232497404672e+19,Desire_1.4740232497404672e+19_Eat,want_to
Person_1.4403995405459108e+19,Desire_1.4403995405459108e+19_Recreation,want_to
Person_1.208845667961916e+19,Desire_1.208845667961916e+19_Shop,want_to
Person_5.41129307265518e+18,Desire_5.41129307265518e+18_Shop,want_to
Person_1.0133671356635896e+19,Desire_1.0133671356635896e+19_Eat,want_to
Person_1.69293525929615e+19,Desire_1.69293525929615e+19_Shop,want_to
Person_2.4606057464208845e+18,Desire_2.4606057464208845e+18_Recreation,want_to
Person_1.609831736707981e+19,Desire_1.609831736707981e+19_Eat,want_to
Person_1.0290275950066264e+19,Desire_1.0290275950066264e+19_Eat,want_to
Person_4.607273830706455e+18,Desire_4.607273830706455e+18_Shop,want_to
Person_3.2841931220536776e+18,Desire_3.2841931220536776e+18_Shop,want_to
Person_9.653345123266253e+18,Desire_9.653345123266253e+18_Recreation,want_to
Person_6.634131282441313e+17,Desire_6.634131282441313e+17_Shop,want_to
Person_1.5479920568582528e+18,Desire_1.5479920568582528e+18_Recreation,want_to
Person_1.2899604065349563e+18,Desire_1.2899604065349563e+18_Shop,want_to
Person_3.924244637765218e+18,Desire_3.924244637765218e+18_Eat,want_to
Person_7.020075904508951e+18,Desire_7.020075904508951e+18_Recreation,want_to
Person_1.413796906731422e+19,Desire_1.413796906731422e+19_Errands,want_to
Person_1.0553683590340026e+19,Desire_1.0553683590340026e+19_Errands,want_to
