source,target,type
Desire_1.7427492370460533e+19_Recreation,Internsion_1.8232744453109424e+19,go_to
Desire_8.000124860001626e+18_Recreation,Internsion_5.093603059217279e+18,go_to
Desire_5.981201455131128e+18_Recreation,Internsion_1.6549048045322406e+19,go_to
Desire_8.731892961412607e+18_Recreation,Internsion_6.472300780287934e+18,go_to
Desire_1.2395756882992466e+19_Recreation,Internsion_1.1277301720981284e+18,go_to
Desire_8.065760043414543e+18_Recreation,Internsion_1.0727146302005953e+19,go_to
Desire_8.629483381706411e+18_Recreation,Internsion_9.087496843433448e+18,go_to
Desire_1.081995870724396e+19_Recreation,Internsion_1.7834098343938814e+19,go_to
Desire_1.5489492843032916e+19_Recreation,Internsion_1.2421272062556514e+19,go_to
Desire_6.779926554640257e+18_Recreation,Internsion_1.194073242273462e+19,go_to
Desire_9.66456736265718e+18_Recreation,Internsion_9.408457454106952e+18,go_to
Desire_7.747673265075584e+17_Recreation,Internsion_1.0374566848017094e+18,go_to
Desire_4.990812329320543e+18_Recreation,Internsion_4.657799695926631e+18,go_to
Desire_1.4223996239602246e+19_Recreation,Internsion_9.131910293392258e+18,go_to
Desire_3.683937578346255e+18_Recreation,Internsion_1.2806559882881309e+19,go_to
Desire_1.7350320884558658e+19_Recreation,Internsion_7.825221419637145e+18,go_to
Desire_8.449370432572105e+18_Recreation,Internsion_3.662398904311544e+18,go_to
Desire_1.5529934004935948e+19_Recreation,Internsion_5.352644008164784e+17,go_to
Desire_3.4430095813264486e+17_Recreation,Internsion_1.7025932040258708e+18,go_to
Desire_5.738267163044204e+18_Recreation,Internsion_8.512468552554162e+18,go_to
Desire_7.181693916694632e+18_Recreation,Internsion_1.404909664460147e+19,go_to
Desire_3.515827903844446e+18_Recreation,Internsion_1.2858199154493825e+19,go_to
Desire_4.860430840549467e+18_Recreation,Internsion_8.077706557529362e+18,go_to
Desire_4.323778718510184e+18_Recreation,Internsion_1.784196133955615e+18,go_to
Desire_3.4288611362791675e+18_Recreation,Internsion_1.6574048424149555e+19,go_to
Desire_3.179330654287409e+18_Recreation,Internsion_1.737548336818344e+19,go_to
Desire_5.128267454804609e+18_Recreation,Internsion_1.6614644810434116e+19,go_to
Desire_8.997067269834202e+18_Recreation,Internsion_4.95299182940729e+18,go_to
Desire_9.513028572225186e+18_Recreation,Internsion_6.987615975956957e+18,go_to
Desire_1.1615427917778915e+19_Recreation,Internsion_7.744046968842782e+18,go_to
Desire_3.5771430007163187e+18_Recreation,Internsion_1.1584787190414776e+19,go_to
Desire_5.067627870020716e+18_Recreation,Internsion_9.050530644162892e+18,go_to
Desire_5.413041511993361e+18_Recreation,Internsion_9.185518012695244e+18,go_to
Desire_1.5433928022121456e+19_Recreation,Internsion_1.543326946290058e+19,go_to
Desire_5.152484543032161e+18_Recreation,Internsion_1.5980621127740631e+19,go_to
Desire_4.726650694574974e+18_Recreation,Internsion_1.3312799553440625e+19,go_to
Desire_3.1990006386452864e+18_Recreation,Internsion_1.2952260828062927e+18,go_to
Desire_1.2230090946993318e+19_Recreation,Internsion_1.3656103044689883e+19,go_to
Desire_1.3016442608753367e+19_Recreation,Internsion_3.69861007705452e+18,go_to
Desire_1.2171635628452024e+19_Recreation,Internsion_1.7115366415410445e+18,go_to
Desire_3.0483762564782843e+18_Recreation,Internsion_1.5526650060141908e+19,go_to
Desire_4.872170917186962e+18_Recreation,Internsion_9.353707449733632e+18,go_to
Desire_1.5560548554371273e+19_Recreation,Internsion_9.58675091057822e+18,go_to
Desire_1.1053775731793164e+19_Recreation,Internsion_3.919455734333581e+18,go_to
Desire_3.046829777051923e+18_Recreation,Internsion_9.94603421247656e+18,go_to
Desire_5.900283311620111e+18_Recreation,Internsion_1.1657518206992635e+18,go_to
Desire_8.813635453815859e+18_Recreation,Internsion_1.2000198938347794e+19,go_to
Desire_7.584921841420555e+18_Recreation,Internsion_1.0196167269266186e+18,go_to
Desire_1.082579549048086e+19_Recreation,Internsion_1.7432737089888596e+19,go_to
Desire_1.1283366573362125e+19_Recreation,Internsion_1.368492739139153e+18,go_to
Desire_1.4834797480003887e+19_Recreation,Internsion_1.2574468054811023e+19,go_to
Desire_8.007323445721872e+16_Recreation,Internsion_1.4769755137365273e+19,go_to
Desire_6.756395572510174e+18_Recreation,Internsion_1.2934253944627718e+19,go_to
Desire_2.4558998098738355e+18_Recreation,Internsion_8.083232075646137e+18,go_to
Desire_4.0382205885942456e+18_Recreation,Internsion_1.4084957147676418e+19,go_to
Desire_3.621884011462239e+16_Recreation,Internsion_7.52148438494406e+18,go_to
Desire_1.310361820770756e+19_Recreation,Internsion_1.7025177340531622e+19,go_to
Desire_1.3504304348734628e+19_Recreation,Internsion_1.1155871912373789e+19,go_to
Desire_2.072827203002143e+18_Recreation,Internsion_1.4505177989555553e+18,go_to
Desire_9.696684728410366e+18_Recreation,Internsion_7.754388878011379e+18,go_to
Desire_5.20437627219892e+18_Recreation,Internsion_8.375096937205363e+18,go_to
Desire_3.414270983385595e+18_Recreation,Internsion_5.46568434326968e+18,go_to
Desire_1.0752914115319538e+19_Recreation,Internsion_1.5727328423952196e+19,go_to
Desire_1.026353339889256e+19_Recreation,Internsion_6.132751051769097e+18,go_to
Desire_1.8105825199057056e+19_Recreation,Internsion_1.9865056660335345e+18,go_to
Desire_1.2288937812678818e+19_Recreation,Internsion_1.1108592785902647e+19,go_to
Desire_1.7786093568798728e+19_Recreation,Internsion_7.660778872886889e+18,go_to
Desire_1.196075545397308e+19_Recreation,Internsion_1.6183009126265637e+19,go_to
Desire_7.950739380470005e+18_Recreation,Internsion_2.208688943218812e+18,go_to
Desire_7.811483339402862e+18_Recreation,Internsion_1.2378402606919793e+19,go_to
Desire_7.399798089407805e+18_Recreation,Internsion_1.130559053674351e+19,go_to
Desire_1.800949442301429e+19_Recreation,Internsion_9.59936513170891e+18,go_to
Desire_6.921811015946753e+18_Recreation,Internsion_9.354220036143423e+18,go_to
Desire_1.249711805717019e+19_Recreation,Internsion_1.2791884272242086e+19,go_to
Desire_5.539447106353107e+18_Recreation,Internsion_1.6988472667907369e+19,go_to
Desire_4.653637506124759e+18_Recreation,Internsion_5.376519700467337e+18,go_to
Desire_5.687989724842525e+18_Recreation,Internsion_4.149329822734812e+18,go_to
Desire_9.154576881644348e+17_Recreation,Internsion_1.033571300162598e+19,go_to
Desire_1.3305601427036406e+19_Recreation,Internsion_1.390558501120517e+19,go_to
Desire_3.53176145968714e+18_Recreation,Internsion_4.711993708662258e+18,go_to
Desire_1.239362303750499e+19_Recreation,Internsion_1.5194950910475094e+19,go_to
Desire_9.25229034799839e+18_Recreation,Internsion_1.357369091246563e+19,go_to
Desire_6.825873449249918e+16_Recreation,Internsion_3.183273774478139e+18,go_to
Desire_1.1885797676606054e+18_Recreation,Internsion_1.0685808113376516e+19,go_to
Desire_1.1465564650954792e+18_Recreation,Internsion_9.21742147335474e+18,go_to
Desire_8.333950457641901e+18_Recreation,Internsion_5.834375404366199e+17,go_to
Desire_5.156779319572679e+18_Recreation,Internsion_2.542013218744496e+17,go_to
Desire_5.844687649267275e+18_Recreation,Internsion_4.2761443729492393e+18,go_to
Desire_1.2472479281305074e+19_Recreation,Internsion_1.5651494248248612e+18,go_to
Desire_1.6877915925834367e+19_Recreation,Internsion_1.4322318298589016e+19,go_to
Desire_5.754177943398432e+18_Recreation,Internsion_6.045931748309393e+18,go_to
Desire_5.720233920651493e+18_Recreation,Internsion_6.016105028515355e+18,go_to
Desire_7.880998816650621e+18_Recreation,Internsion_1.6771904787692376e+19,go_to
Desire_1.732052446752013e+19_Recreation,Internsion_5.822916552503071e+18,go_to
Desire_1.431764197216002e+19_Recreation,Internsion_9.46996549897869e+18,go_to
Desire_3.545458423554195e+18_Recreation,Internsion_1.3747880123223595e+19,go_to
Desire_9.549898984179507e+18_Recreation,Internsion_3.366214450296566e+18,go_to
Desire_1.3873870155647767e+18_Recreation,Internsion_6.682703669903438e+17,go_to
Desire_1.7695615996064432e+19_Recreation,Internsion_1.0369808703308876e+19,go_to
Desire_2.309737680612638e+18_Recreation,Internsion_1.758960510580195e+19,go_to
Desire_5.0825693383396704e+17_Recreation,Internsion_9.412882592370604e+18,go_to
Desire_8.830110598261755e+17_Recreation,Internsion_8.408972349924767e+18,go_to
Desire_7.591801323701736e+18_Recreation,Internsion_7.907938538325202e+18,go_to
Desire_1.15095610042134e+19_Recreation,Internsion_1.6809329309456722e+19,go_to
Desire_1.2610740661041836e+19_Recreation,Internsion_1.832538843314256e+19,go_to
Desire_7.524896884822524e+18_Recreation,Internsion_7.917336476949349e+18,go_to
Desire_5.607964775328313e+18_Recreation,Internsion_8.154740617795907e+18,go_to
Desire_7.378724387060567e+17_Recreation,Internsion_1.6605980025348024e+19,go_to
Desire_8.79123143679669e+18_Recreation,Internsion_1.5714923611441052e+18,go_to
Desire_8.060667579405885e+18_Recreation,Internsion_1.4599419422577009e+19,go_to
Desire_1.7090521344857915e+19_Recreation,Internsion_1.5847307160888566e+19,go_to
Desire_7.415800732698781e+18_Recreation,Internsion_1.465200536763102e+19,go_to
Desire_1.2931965726836937e+19_Recreation,Internsion_1.0084008775698045e+19,go_to
Desire_1.0944797264395026e+19_Recreation,Internsion_5.371091714452077e+18,go_to
Desire_1.1957206631486702e+19_Recreation,Internsion_1.4248335741455931e+19,go_to
Desire_4.202421501524588e+18_Recreation,Internsion_1.3190425004420958e+19,go_to
Desire_1.3403998568677431e+19_Recreation,Internsion_1.0493923930350268e+19,go_to
Desire_2.550654862539311e+18_Recreation,Internsion_2.0493897523865897e+18,go_to
Desire_5.594373062291199e+18_Recreation,Internsion_8.616596666759029e+18,go_to
Desire_9.115511894830014e+18_Recreation,Internsion_6.553787605389103e+18,go_to
Desire_1.1592623382465511e+19_Recreation,Internsion_1.1572893711726404e+19,go_to
Desire_5.58332264697995e+18_Recreation,Internsion_6.512217714639858e+18,go_to
Desire_1.3946608891235994e+19_Recreation,Internsion_1.3482210840914805e+19,go_to
Desire_7.86073936644034e+18_Recreation,Internsion_8.054335147103847e+18,go_to
Desire_1.6750392959559424e+19_Recreation,Internsion_1.2169645428923138e+19,go_to
Desire_6.116655965369347e+18_Recreation,Internsion_1.2849008475810513e+19,go_to
Desire_1.1931494713428945e+19_Recreation,Internsion_4.447085780845093e+18,go_to
Desire_3.265865495391265e+18_Recreation,Internsion_9.300520399403612e+18,go_to
