id,age,individual_income,household_size,family_structure,vehicles,description
Person_1.7427492370460533e+19,64,10651,2_person,married_couple,0,"A 64 year old person, living in a married_couple family with 2_person members. The person has 0 vehicles and an annual income of 10651 dollars."
Person_8.000124860001626e+18,28,60608,2_person,nonfamily_single,0,"A 28 year old person, living in a nonfamily_single family with 2_person members. The person has 0 vehicles and an annual income of 60608 dollars."
Person_5.981201455131128e+18,67,7426,2_person,married_couple,1,"A 67 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 7426 dollars."
Person_8.731892961412607e+18,51,257586,3_person,married_couple,1,"A 51 year old person, living in a married_couple family with 3_person members. The person has 1 vehicles and an annual income of 257586 dollars."
Person_1.2395756882992466e+19,22,16101,4_person,nonfamily_single,1,"A 22 year old person, living in a nonfamily_single family with 4_person members. The person has 1 vehicles and an annual income of 16101 dollars."
Person_8.065760043414543e+18,58,71921,3_person,family_single,0,"A 58 year old person, living in a family_single family with 3_person members. The person has 0 vehicles and an annual income of 71921 dollars."
Person_8.629483381706411e+18,76,74043,3_person,family_single,1,"A 76 year old person, living in a family_single family with 3_person members. The person has 1 vehicles and an annual income of 74043 dollars."
Person_1.081995870724396e+19,94,12121,1_person,living_alone,0,"A 94 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 12121 dollars."
Person_1.5489492843032916e+19,64,55894,2_person,married_couple,3_plus,"A 64 year old person, living in a married_couple family with 2_person members. The person has 3_plus vehicles and an annual income of 55894 dollars."
Person_6.779926554640257e+18,52,269361,2_person,nonfamily_single,2,"A 52 year old person, living in a nonfamily_single family with 2_person members. The person has 2 vehicles and an annual income of 269361 dollars."
Person_9.66456736265718e+18,32,32468,3_person,married_couple,1,"A 32 year old person, living in a married_couple family with 3_person members. The person has 1 vehicles and an annual income of 32468 dollars."
Person_7.747673265075584e+17,72,21557,2_person,married_couple,1,"A 72 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 21557 dollars."
