id,desire,description
Desire_1.2544472347099836e+19_Shop,Shop,This person wants to Shop
Desire_1.2675414902950185e+19_Shop,Shop,This person wants to Shop
Desire_6.6897321972559e+18_Shop,Shop,This person wants to Shop
Desire_2.989760817270826e+18_Shop,Shop,This person wants to Shop
Desire_1.5367275655724696e+19_Shop,Shop,This person wants to Shop
Desire_1.4961638206022074e+19_Shop,Shop,This person wants to Shop
Desire_9.541364346729918e+18_Shop,Shop,This person wants to Shop
Desire_1.0980550371115908e+18_Shop,Shop,This person wants to Shop
Desire_1.0042971529938016e+19_Shop,Shop,This person wants to Shop
Desire_1.2898738319961864e+19_Shop,Shop,This person wants to Shop
Desire_6.609695218026235e+18_Shop,Shop,This person wants to Shop
Desire_6.537413087162777e+18_Shop,Shop,This person wants to Shop
Desire_2.2851574028666803e+18_Shop,Shop,This person wants to Shop
Desire_9.775056956026352e+18_Shop,Shop,This person wants to Shop
Desire_1.3632427496203252e+19_Shop,Shop,This person wants to Shop
Desire_1.0835478684227068e+19_Shop,Shop,This person wants to Shop
Desire_1.5998308259348562e+18_Shop,Shop,This person wants to Shop
Desire_4.472526499215434e+18_Shop,Shop,This person wants to Shop
Desire_1.1481323438914622e+17_Shop,Shop,This person wants to Shop
Desire_4.169230298737317e+17_Shop,Shop,This person wants to Shop
Desire_1.831086889456314e+18_Shop,Shop,This person wants to Shop
Desire_1.1060001951798886e+19_Shop,Shop,This person wants to Shop
Desire_6.797892367905326e+18_Shop,Shop,This person wants to Shop
Desire_1.025468941026783e+19_Shop,Shop,This person wants to Shop
Desire_1.222427891442216e+19_Shop,Shop,This person wants to Shop
Desire_4.3481261210423153e+18_Shop,Shop,This person wants to Shop
Desire_2.8031278712345897e+18_Shop,Shop,This person wants to Shop
Desire_1.8001370120457204e+19_Shop,Shop,This person wants to Shop
Desire_3.5411994511911834e+18_Shop,Shop,This person wants to Shop
Desire_1.6303920529062038e+19_Shop,Shop,This person wants to Shop
Desire_9.974321093654364e+18_Shop,Shop,This person wants to Shop
Desire_1.0859839467673928e+19_Shop,Shop,This person wants to Shop
Desire_1.374312261299254e+19_Shop,Shop,This person wants to Shop
Desire_8.705634731344638e+18_Shop,Shop,This person wants to Shop
Desire_2.9504334208881475e+18_Shop,Shop,This person wants to Shop
Desire_8.617507601275222e+18_Shop,Shop,This person wants to Shop
Desire_1.081528900177589e+19_Shop,Shop,This person wants to Shop
Desire_4.4066423530739e+18_Shop,Shop,This person wants to Shop
Desire_1.4838497403232866e+19_Shop,Shop,This person wants to Shop
Desire_1.9667997014278287e+18_Shop,Shop,This person wants to Shop
Desire_1.385532729390866e+19_Shop,Shop,This person wants to Shop
Desire_5.200006048791066e+18_Shop,Shop,This person wants to Shop
Desire_1.316139051731211e+19_Shop,Shop,This person wants to Shop
Desire_6.003639414975771e+18_Shop,Shop,This person wants to Shop
