source,target,type
Desire_1.2544472347099836e+19_Shop,Internsion_1.2659155797313022e+19,go_to
Desire_1.2675414902950185e+19_Shop,Internsion_1.735896102760732e+19,go_to
Desire_6.6897321972559e+18_Shop,Internsion_1.6785888805840263e+19,go_to
Desire_2.989760817270826e+18_Shop,Internsion_5.537463095919766e+18,go_to
Desire_1.5367275655724696e+19_Shop,Internsion_7.777022948907131e+16,go_to
Desire_1.4961638206022074e+19_Shop,Internsion_2.169929199715748e+18,go_to
Desire_9.541364346729918e+18_Shop,Internsion_6.552408593024352e+17,go_to
Desire_1.0980550371115908e+18_Shop,Internsion_1.5125379708127203e+19,go_to
Desire_1.0042971529938016e+19_Shop,Internsion_5.211989255034465e+18,go_to
Desire_1.2898738319961864e+19_Shop,Internsion_1.157263437968776e+19,go_to
Desire_6.609695218026235e+18_Shop,Internsion_7.123382373264445e+18,go_to
Desire_6.537413087162777e+18_Shop,Internsion_3.4639963827390725e+18,go_to
Desire_2.2851574028666803e+18_Shop,Internsion_1.4406435255389542e+19,go_to
Desire_9.775056956026352e+18_Shop,Internsion_1.4473811529923109e+19,go_to
Desire_1.3632427496203252e+19_Shop,Internsion_1.834313521347844e+19,go_to
Desire_1.0835478684227068e+19_Shop,Internsion_1.4936039228602573e+19,go_to
Desire_1.5998308259348562e+18_Shop,Internsion_1.2686567885109932e+18,go_to
Desire_4.472526499215434e+18_Shop,Internsion_1.7002867165239409e+19,go_to
Desire_1.1481323438914622e+17_Shop,Internsion_1.4414388850486976e+18,go_to
Desire_4.169230298737317e+17_Shop,Internsion_9.950795872686273e+18,go_to
Desire_1.831086889456314e+18_Shop,Internsion_1.9716346535616617e+18,go_to
Desire_1.1060001951798886e+19_Shop,Internsion_1.7216674720246696e+19,go_to
Desire_6.797892367905326e+18_Shop,Internsion_2.0771712722661908e+18,go_to
Desire_1.025468941026783e+19_Shop,Internsion_1.823464854131024e+19,go_to
Desire_1.222427891442216e+19_Shop,Internsion_1.061130031988043e+19,go_to
Desire_4.3481261210423153e+18_Shop,Internsion_4.114119536086402e+18,go_to
Desire_2.8031278712345897e+18_Shop,Internsion_1.754870159303716e+19,go_to
Desire_1.8001370120457204e+19_Shop,Internsion_4.980706591727077e+18,go_to
Desire_3.5411994511911834e+18_Shop,Internsion_1.17311102293538e+19,go_to
Desire_1.6303920529062038e+19_Shop,Internsion_1.5304907293921124e+19,go_to
Desire_9.974321093654364e+18_Shop,Internsion_6.734957432932246e+18,go_to
Desire_1.0859839467673928e+19_Shop,Internsion_1.0031056976816837e+19,go_to
Desire_1.374312261299254e+19_Shop,Internsion_1.8037447202408368e+19,go_to
Desire_8.705634731344638e+18_Shop,Internsion_2.0643694112309256e+18,go_to
Desire_2.9504334208881475e+18_Shop,Internsion_1.0604486116588562e+19,go_to
Desire_8.617507601275222e+18_Shop,Internsion_4.980796471769246e+18,go_to
Desire_1.081528900177589e+19_Shop,Internsion_4.4305029689543777e+18,go_to
Desire_4.4066423530739e+18_Shop,Internsion_1.2599542890968314e+19,go_to
Desire_1.4838497403232866e+19_Shop,Internsion_8.061256636626813e+18,go_to
Desire_1.9667997014278287e+18_Shop,Internsion_1.7591129851561769e+19,go_to
Desire_1.385532729390866e+19_Shop,Internsion_1.2725647312579785e+19,go_to
Desire_5.200006048791066e+18_Shop,Internsion_1.2699494948938613e+19,go_to
Desire_1.316139051731211e+19_Shop,Internsion_8.79513266486707e+18,go_to
Desire_6.003639414975771e+18_Shop,Internsion_1.4433314755715142e+19,go_to
Desire_1.1904479394899493e+19_Shop,Internsion_5.07937814425422e+18,go_to
Desire_1.0342390541832976e+19_Shop,Internsion_4.05758930969626e+18,go_to
Desire_1.6089487705827803e+19_Shop,Internsion_1.7473921277505065e+19,go_to
Desire_9.526940229441247e+18_Shop,Internsion_9.083117858574896e+18,go_to
Desire_1.0420786877113037e+19_Shop,Internsion_1.4650542778373317e+19,go_to
Desire_6.403091271706839e+18_Shop,Internsion_1.7055068624612143e+19,go_to
Desire_8.488034538162858e+18_Shop,Internsion_1.7054279161515289e+19,go_to
Desire_1.7301766176134157e+18_Shop,Internsion_1.7203443968559831e+19,go_to
Desire_5.94378410243695e+17_Shop,Internsion_3.26121218289345e+17,go_to
Desire_5.067705402567042e+18_Shop,Internsion_1.1087255719738335e+19,go_to
Desire_1.2822564366497053e+19_Shop,Internsion_3.3628743768384614e+18,go_to
Desire_1.1517662296176536e+19_Shop,Internsion_1.3459251562687248e+19,go_to
Desire_1.0596478365718444e+19_Shop,Internsion_5.51640134422149e+16,go_to
Desire_3.240096985842061e+18_Shop,Internsion_1.2649408665907151e+18,go_to
Desire_6.820679109735003e+18_Shop,Internsion_4.277222300719792e+18,go_to
Desire_5.144577550854076e+18_Shop,Internsion_3.881918056396833e+18,go_to
Desire_1.6008561271605778e+19_Shop,Internsion_1.1582080678548836e+19,go_to
Desire_7.786819363824425e+18_Shop,Internsion_7.298912956413928e+18,go_to
Desire_4.162792400160358e+17_Shop,Internsion_9.02941438052225e+18,go_to
Desire_1.0348810048623038e+19_Shop,Internsion_1.051923630863265e+19,go_to
Desire_5.743053546282536e+18_Shop,Internsion_6.356487487066042e+18,go_to
Desire_1.3538089667908272e+19_Shop,Internsion_3.993347698171483e+18,go_to
Desire_7.662799550449951e+18_Shop,Internsion_1.7039128916170838e+19,go_to
Desire_1.6895363028584188e+19_Shop,Internsion_9.000242374543114e+18,go_to
Desire_5.804386658571679e+18_Shop,Internsion_2.4264978057334426e+18,go_to
Desire_2.8491566113002644e+18_Shop,Internsion_4.5562210895631744e+18,go_to
Desire_1.10299623574028e+19_Shop,Internsion_1.5707637976771272e+18,go_to
Desire_6.697256789282296e+18_Shop,Internsion_8.139416267826776e+18,go_to
Desire_6.778905033936273e+18_Shop,Internsion_6.259976104567567e+17,go_to
Desire_1.1506552691646026e+19_Shop,Internsion_2.140523247399233e+18,go_to
Desire_1.8344247126294653e+19_Shop,Internsion_1.0890162525664537e+19,go_to
Desire_1.7699979204179964e+19_Shop,Internsion_1.5962819303605273e+19,go_to
Desire_1.8441448338473585e+19_Shop,Internsion_1.2776450140718216e+18,go_to
Desire_3.354400402741892e+18_Shop,Internsion_1.78923184365992e+19,go_to
Desire_1.4125891094914275e+19_Shop,Internsion_3.998384178632695e+18,go_to
Desire_1.0289809315661103e+19_Shop,Internsion_1.5043962253126242e+19,go_to
Desire_1.5899723319297229e+19_Shop,Internsion_3.177636458694836e+18,go_to
Desire_1.4436210292028238e+19_Shop,Internsion_1.9650473871845688e+18,go_to
Desire_1.2204374017775694e+19_Shop,Internsion_5.02815103875698e+18,go_to
Desire_1.7933804376795546e+19_Shop,Internsion_1.3516382422689778e+19,go_to
Desire_3.725324783677552e+18_Shop,Internsion_9.469775570731813e+18,go_to
Desire_1.507447619302129e+18_Shop,Internsion_5.299989473527156e+18,go_to
Desire_5.46754628787532e+18_Shop,Internsion_3.24782265689384e+18,go_to
Desire_8.665266117586853e+18_Shop,Internsion_8.805323707627842e+18,go_to
Desire_7.215806455297769e+18_Shop,Internsion_1.3348803226881094e+19,go_to
Desire_1.2592152387944998e+17_Shop,Internsion_1.6308010644199131e+19,go_to
Desire_3.505296789336136e+18_Shop,Internsion_1.6254751360698712e+19,go_to
Desire_1.4517479005378853e+19_Shop,Internsion_1.2618989124402012e+19,go_to
Desire_8.751238629116447e+17_Shop,Internsion_4.712939234024047e+18,go_to
Desire_1.426679645837695e+19_Shop,Internsion_6.536730507756739e+18,go_to
Desire_1.2347408931061973e+19_Shop,Internsion_7.860180155947158e+18,go_to
Desire_1.551073266498339e+18_Shop,Internsion_3.3884206623886684e+18,go_to
Desire_1.6315872300360313e+19_Shop,Internsion_1.2006290042988851e+19,go_to
Desire_7.791545839003508e+18_Shop,Internsion_9.405416293301418e+18,go_to
Desire_5.690458725724001e+18_Shop,Internsion_3.869422962918216e+17,go_to
Desire_2.689258256986515e+18_Shop,Internsion_9.988054068196565e+18,go_to
Desire_6.597347246108876e+18_Shop,Internsion_1.7821140960244324e+19,go_to
Desire_1.442950265710773e+19_Shop,Internsion_7.481281620976181e+18,go_to
Desire_2.5081905873988603e+18_Shop,Internsion_3.242772407689203e+18,go_to
Desire_1.3004428082108537e+19_Shop,Internsion_1.391513959476039e+19,go_to
Desire_4.036790312212793e+18_Shop,Internsion_1.5409705118022253e+19,go_to
Desire_4.628079855042692e+18_Shop,Internsion_8.191326487169288e+18,go_to
Desire_4.021839143609304e+18_Shop,Internsion_6.928922473240866e+18,go_to
Desire_1.7381331235182805e+19_Shop,Internsion_5.775900045427872e+18,go_to
Desire_1.5046839850129533e+19_Shop,Internsion_1.32718024277146e+19,go_to
Desire_2.76519590759263e+18_Shop,Internsion_1.1703862966168707e+19,go_to
Desire_9.466089519895722e+18_Shop,Internsion_1.626408991812389e+19,go_to
Desire_1.2269283650086812e+19_Shop,Internsion_1.1388454320149178e+19,go_to
Desire_1.5272346713598935e+19_Shop,Internsion_6.367195952417499e+17,go_to
Desire_1.6840434241632827e+19_Shop,Internsion_1.0900443077050927e+19,go_to
Desire_1.1652332953572645e+19_Shop,Internsion_5.359663686522365e+18,go_to
Desire_1.3395989810129406e+19_Shop,Internsion_1.468576449362372e+19,go_to
Desire_1.4046117985506117e+18_Shop,Internsion_1.6106098914995954e+19,go_to
