id,target_amenity,mode,distance_miles,duration_minutes,location_name,description
Internsion_1.2659155797313022e+19,Durable Goods,Walking,0.2945620345976489,5.0,Isgenuity,"This person goes to Isgenuity by Walking, this place is in the amenity category of Retail (Durable Goods)/Home Goods Store. The distance is 0.2945620345976489 miles. It takes 5.0 minutes."
Internsion_1.735896102760732e+19,Grocery,Car,2.866646883185879,14.0,Tropical Foods,"This person goes to Tropical Foods by Car, this place is in the amenity category of Retail (Grocery)/Grocery or Supermarket. The distance is 2.866646883185879 miles. It takes 14.0 minutes."
Internsion_1.6785888805840263e+19,Consumer Goods,Car,0.388132472288781,1.0,City Smoke Shop,"This person goes to City Smoke Shop by Car, this place is in the amenity category of Retail (Consumer Goods)/Less Frequented Stores. The distance is 0.388132472288781 miles. It takes 1.0 minutes."
Internsion_5.537463095919766e+18,Consumer Goods,Walking,0.0463404566009395,0.0,Lotus Designs Florist,"This person goes to Lotus Designs Florist by Walking, this place is in the amenity category of Retail (Consumer Goods)/Florist. The distance is 0.0463404566009395 miles. It takes 0.0 minutes."
Internsion_7.777022948907131e+16,Consumer Goods,Car,2.339256832060188,11.0,Back Bay Florist,"This person goes to Back Bay Florist by Car, this place is in the amenity category of Retail (Consumer Goods)/Florist. The distance is 2.339256832060188 miles. It takes 11.0 minutes."
Internsion_2.169929199715748e+18,Consumer Goods,Public_transport,1.2669350473351462,15.0,Lovepop Cards,"This person goes to Lovepop Cards by Public_transport, this place is in the amenity category of Retail (Consumer Goods)/Florist. The distance is 1.2669350473351462 miles. It takes 15.0 minutes."
Internsion_6.552408593024352e+17,Consumer Goods,Public_transport,2.99695107237377,28.0,Neiman Marcus,"This person goes to Neiman Marcus by Public_transport, this place is in the amenity category of Retail (Consumer Goods)/Department Store. The distance is 2.99695107237377 miles. It takes 28.0 minutes."
Internsion_1.5125379708127203e+19,Consumer Goods,Public_transport,3.8083229180592735,18.0,LIDS,"This person goes to LIDS by Public_transport, this place is in the amenity category of Retail (Consumer Goods)/Clothing Store. The distance is 3.8083229180592735 miles. It takes 18.0 minutes."
Internsion_5.211989255034465e+18,Consumer Goods,Walking,0.0882184264646653,1.0,Barnes & Noble Emerson College,"This person goes to Barnes & Noble Emerson College by Walking, this place is in the amenity category of Retail (Consumer Goods)/Book Store. The distance is 0.0882184264646653 miles. It takes 1.0 minutes."
Internsion_1.157263437968776e+19,Consumer Goods,Car,0.6996924636905066,3.0,T.J. Maxx,"This person goes to T.J. Maxx by Car, this place is in the amenity category of Retail (Consumer Goods)/Department Store. The distance is 0.6996924636905066 miles. It takes 3.0 minutes."
