id,age,individual_income,household_size,family_structure,vehicles,description
Person_1.2544472347099836e+19,32,117488,2_person,married_couple,2,"A 32 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 117488 dollars."
Person_1.2675414902950185e+19,55,48511,5_person,married_couple,3_plus,"A 55 year old person, living in a married_couple family with 5_person members. The person has 3_plus vehicles and an annual income of 48511 dollars."
Person_6.6897321972559e+18,67,48486,3_person,married_couple,1,"A 67 year old person, living in a married_couple family with 3_person members. The person has 1 vehicles and an annual income of 48486 dollars."
Person_2.989760817270826e+18,25,26299,2_person,family_single,0,"A 25 year old person, living in a family_single family with 2_person members. The person has 0 vehicles and an annual income of 26299 dollars."
Person_1.5367275655724696e+19,69,0,3_person,married_couple,1,"A 69 year old person, living in a married_couple family with 3_person members. The person has 1 vehicles and an annual income of 0 dollars."
Person_1.4961638206022074e+19,31,73471,2_person,nonfamily_single,1,"A 31 year old person, living in a nonfamily_single family with 2_person members. The person has 1 vehicles and an annual income of 73471 dollars."
Person_9.541364346729918e+18,61,0,4_person,family_single,0,"A 61 year old person, living in a family_single family with 4_person members. The person has 0 vehicles and an annual income of 0 dollars."
Person_1.0980550371115908e+18,31,18566,3_person,family_single,1,"A 31 year old person, living in a family_single family with 3_person members. The person has 1 vehicles and an annual income of 18566 dollars."
Person_1.0042971529938016e+19,58,566267,1_person,living_alone,1,"A 58 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 566267 dollars."
Person_1.2898738319961864e+19,26,64828,3_person,nonfamily_single,1,"A 26 year old person, living in a nonfamily_single family with 3_person members. The person has 1 vehicles and an annual income of 64828 dollars."
Person_6.609695218026235e+18,83,14046,1_person,living_alone,0,"A 83 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 14046 dollars."
Person_6.537413087162777e+18,35,37570,7_plus_person,married_couple,1,"A 35 year old person, living in a married_couple family with 7_plus_person members. The person has 1 vehicles and an annual income of 37570 dollars."
Person_2.2851574028666803e+18,36,222231,1_person,living_alone,1,"A 36 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 222231 dollars."
Person_9.775056956026352e+18,28,0,2_person,nonfamily_single,2,"A 28 year old person, living in a nonfamily_single family with 2_person members. The person has 2 vehicles and an annual income of 0 dollars."
Person_1.3632427496203252e+19,27,88704,2_person,family_single,2,"A 27 year old person, living in a family_single family with 2_person members. The person has 2 vehicles and an annual income of 88704 dollars."
Person_1.0835478684227068e+19,53,0,2_person,married_couple,2,"A 53 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 0 dollars."
