id,age,individual_income,household_size,family_structure,vehicles,description
Person_3.042898279713684e+18,25,108047,2_person,married_couple,2,"A 25 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 108047 dollars."
Person_1.586876555727136e+19,29,105460,2_person,married_couple,1,"A 29 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 105460 dollars."
Person_1.1576579517790798e+19,33,55388,2_person,nonfamily_single,2,"A 33 year old person, living in a nonfamily_single family with 2_person members. The person has 2 vehicles and an annual income of 55388 dollars."
Person_8.406536686754593e+18,22,0,4_person,nonfamily_single,0,"A 22 year old person, living in a nonfamily_single family with 4_person members. The person has 0 vehicles and an annual income of 0 dollars."
Person_1.1156174530945843e+19,37,0,4_person,married_couple,0,"A 37 year old person, living in a married_couple family with 4_person members. The person has 0 vehicles and an annual income of 0 dollars."
Person_3.788140392910308e+18,91,24041,3_person,family_single,2,"A 91 year old person, living in a family_single family with 3_person members. The person has 2 vehicles and an annual income of 24041 dollars."
Person_9.57884249095133e+17,67,85875,2_person,married_couple,2,"A 67 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 85875 dollars."
Person_1.6399479785059631e+19,24,18350,5_person,family_single,1,"A 24 year old person, living in a family_single family with 5_person members. The person has 1 vehicles and an annual income of 18350 dollars."
Person_1.9332840807747663e+18,77,12686,2_person,married_couple,2,"A 77 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 12686 dollars."
Person_3.5367466730231634e+18,25,0,4_person,nonfamily_single,2,"A 25 year old person, living in a nonfamily_single family with 4_person members. The person has 2 vehicles and an annual income of 0 dollars."
Person_1.1264717060570833e+19,27,44870,6_person,married_couple,3_plus,"A 27 year old person, living in a married_couple family with 6_person members. The person has 3_plus vehicles and an annual income of 44870 dollars."
Person_1.0764315543703308e+19,69,31819,3_person,married_couple,1,"A 69 year old person, living in a married_couple family with 3_person members. The person has 1 vehicles and an annual income of 31819 dollars."
Person_9.51623562795022e+18,75,285859,1_person,living_alone,1,"A 75 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 285859 dollars."
Person_1.613628521833393e+18,43,111396,4_person,family_single,2,"A 43 year old person, living in a family_single family with 4_person members. The person has 2 vehicles and an annual income of 111396 dollars."
